Product Name,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Star Rating,Ram,Color,Storage
APPLE iPhone 8 Plus,Apple,49900,49900,0,3431,356,4.6,2 GB,Gold,64 GB
APPLE iPhone 8 Plus,Apple,84900,84900,0,3431,356,4.6,2 GB,Space Grey,256 GB
APPLE iPhone 8 Plus,Apple,84900,84900,0,3431,356,4.6,2 GB,Silver,256 GB
APPLE iPhone 8,Apple,77000,77000,0,11202,794,4.5,2 GB,Silver,256 GB
APPLE iPhone 8,Apple,77000,77000,0,11202,794,4.5,2 GB,Gold,256 GB
APPLE iPhone 8 Plus,Apple,49900,49900,0,3431,356,4.6,2 GB,Silver,64 GB
APPLE iPhone 8 Plus,Apple,49900,49900,0,3431,356,4.6,2 GB,Space Grey,64 GB
APPLE iPhone 8,Apple,77000,77000,0,11202,794,4.5,2 GB,Space Grey,256 GB
APPLE iPhone XS Max,Apple,89900,89900,0,1454,149,4.6,4 GB,Silver,64 GB
Apple iPhone XR,Apple,41999,52900,20,79512,6796,4.6,4 GB,(PRODUCT)RED,128 GB
Apple iPhone XR,Apple,39999,47900,16,79512,6796,4.6,4 GB,Black,64 GB
Apple iPhone XR,Apple,41999,52900,20,79582,6804,4.6,4 GB,Coral,128 GB
Apple iPhone XR,Apple,41999,52900,20,79512,6796,4.6,3 GB,Black,128 GB
Apple iPhone XR,Apple,41999,52900,20,79512,6796,4.6,4 GB,White,128 GB
APPLE iPhone 11 Pro Max,Apple,131900,131900,0,1078,101,4.7,4 GB,Gold,256 GB
APPLE iPhone 11 Pro Max,Apple,117100,117100,0,1078,101,4.7,4 GB,Gold,64 GB
APPLE iPhone 11 Pro Max,Apple,131900,131900,0,1078,101,4.7,4 GB,Midnight Green,256 GB
APPLE iPhone 11 Pro Max,Apple,117100,117100,0,1078,101,4.7,4 GB,Space Grey,64 GB
APPLE iPhone 11 Pro,Apple,74999,106600,29,7088,523,4.6,4 GB,Midnight Green,64 GB
APPLE iPhone 11 Pro,Apple,117900,140300,15,7088,523,4.6,4 GB,Space Grey,512 GB
APPLE iPhone 11 Pro Max,Apple,117100,117100,0,1078,101,4.7,4 GB,Midnight Green,64 GB
APPLE iPhone 11 Pro,Apple,117900,140300,15,7088,523,4.6,4 GB,Midnight Green,512 GB
APPLE iPhone 11 Pro,Apple,99900,121300,17,7081,522,4.6,4 GB,Space Grey,256 GB
Apple iPhone SE,Apple,44999,54900,18,95909,8161,4.5,2 GB,White,256 GB
APPLE iPhone 12 Pro,Apple,140900,149900,6,542,42,4.5,4 GB,Silver,512 GB
APPLE iPhone 12 Pro Max,Apple,130900,139900,6,580,45,4.6,6 GB,Pacific Blue,256 GB
APPLE iPhone 12 Mini,Apple,64900,74900,13,740,64,4.5,4 GB,White,128 GB
APPLE iPhone 12 Pro,Apple,120900,129900,6,545,42,4.5,6 GB,Graphite,256 GB
APPLE iPhone 12 Mini,Apple,59900,69900,14,740,64,4.5,4 GB,White,64 GB
APPLE iPhone 12,Apple,75900,84900,10,2101,180,4.6,6 GB,White,128 GB
APPLE iPhone 12 Pro,Apple,110900,119900,7,545,42,4.5,6 GB,Graphite,128 GB
APPLE iPhone 12 Pro Max,Apple,130900,139900,6,580,45,4.6,6 GB,Graphite,256 GB
APPLE iPhone 12 Pro Max,Apple,120900,129900,6,580,45,4.6,6 GB,Graphite,128 GB
APPLE iPhone 12 Mini,Apple,64900,74900,13,730,63,4.5,4 GB,Black,128 GB
APPLE iPhone 12 Mini,Apple,64900,74900,13,730,63,4.5,4 GB,Blue,128 GB
APPLE iPhone 12,Apple,75900,84900,10,2101,180,4.6,6 GB,Black,128 GB
APPLE iPhone 12,Apple,75900,84900,10,2101,180,4.6,6 GB,Blue,128 GB
APPLE iPhone 12 Pro Max,Apple,120900,129900,6,580,45,4.6,6 GB,Silver,128 GB
APPLE iPhone 12 Mini,Apple,59900,69900,14,740,64,4.5,6 GB,Red,64 GB
APPLE iPhone 12 Pro Max,Apple,120900,129900,6,580,45,4.6,6 GB,Gold,128 GB
APPLE iPhone 12,Apple,75900,84900,10,2092,178,4.6,6 GB,Green,128 GB
APPLE iPhone 12 Pro,Apple,140900,149900,6,545,42,4.5,4 GB,Pacific Blue,512 GB
APPLE iPhone 12,Apple,70900,79900,11,2101,180,4.6,6 GB,White,64 GB
APPLE iPhone 12,Apple,70900,79900,11,2092,178,4.6,6 GB,Black,64 GB
APPLE iPhone 12,Apple,75900,84900,10,2101,180,4.6,6 GB,Red,128 GB
APPLE iPhone 12 Mini,Apple,59900,69900,14,740,64,4.5,4 GB,Black,64 GB
APPLE iPhone 12 Pro,Apple,110900,119900,7,545,42,4.5,6 GB,Pacific Blue,128 GB
APPLE iPhone 12 Pro Max,Apple,120900,129900,6,580,45,4.6,6 GB,Pacific Blue,128 GB
APPLE iPhone 12 Pro Max,Apple,130900,139900,6,580,45,4.6,6 GB,Silver,256 GB
APPLE iPhone 12 Pro Max,Apple,130900,139900,6,580,45,4.6,6 GB,Gold,256 GB
APPLE iPhone 11,Apple,54999,59900,8,43707,3357,4.6,4 GB,White,128 GB
APPLE iPhone 11,Apple,54999,59900,8,43707,3357,4.6,4 GB,Red,128 GB
APPLE iPhone SE,Apple,29999,39900,24,95807,8154,4.5,2 GB,White,64 GB
APPLE iPhone SE,Apple,34999,44900,22,95909,8161,4.5,2 GB,Black,128 GB
APPLE iPhone SE,Apple,34999,44900,22,95807,8154,4.5,2 GB,White,128 GB
APPLE iPhone SE,Apple,34999,44900,22,95909,8161,4.5,2 GB,Red,128 GB
APPLE iPhone 11,Apple,54999,59900,8,43470,3331,4.6,4 GB,Black,128 GB
APPLE iPhone SE,Apple,29999,39900,24,95909,8161,4.5,4 GB,Black,64 GB
APPLE iPhone 11,Apple,46999,54900,14,43470,3331,4.6,4 GB,Purple,64 GB
APPLE iPhone 11,Apple,46999,54900,14,43470,3331,4.6,4 GB,White,64 GB
APPLE iPhone 11,Apple,46999,54900,14,43470,3331,4.6,4 GB,Black,64 GB
APPLE iPhone 11,Apple,46999,54900,14,43470,3331,4.6,4 GB,Red,64 GB
